Input,Output,Enquiry,File,Interface,Duration,Effort
774,260,340,128,0,4,7490
9,4,3,193,41,17,4150
25,33,28,42,35,9,668
151,28,8,39,0,4,3238
93,0,194,20,0,13,2994
63,0,24,0,0,4,1333
24,0,23,30,0,6,1607
0,108,7,0,5,7,1158
0,23,58,14,20,6,1243
39,7,0,0,0,7,3372
209,129,24,83,15,9,10200
32,5,16,7,0,7,1704
0,115,57,0,42,7,2640
13,54,54,40,7,26,3348
208,26,81,25,0,7,676
65,45,101,42,10,3,911
12,15,3,7,15,6.4,2496
98,20,16,63,5,10,1171
105,28,18,58,0,13,3532
28,0,42,0,0,1,436
278,0,73,0,0,4,909
2075,525,97,0,0,6,9094
0,28,0,25,0,6,344
14,12,15,7,5,3,296
65,4,12,14,0,13,3503
31,28,9,7,0,1,246
51,105,0,105,45,24,2082
68,78,22,62,14,7,191
21,46,3,44,0,15,2974
100,44,61,107,0,2,328
16,5,39,52,0,8,406
9,102,0,10,77,8,1785
39,4,0,14,10,8,471
74,18,33,57,0,5,700
43,71,7,0,0,2,579
43,10,4,15,0,3,1211
63,0,27,45,0,4,1139
706,648,236,235,0,19,14520
0,10,0,0,0,2,239
21,167,3,10,0,5,1262
64,36,9,28,20,8,1754
60,21,29,71,0,6,1514
36,21,0,0,0,8,667
198,14,99,91,10,20,5864
198,14,33,77,0,3,973
554,513,66,703,220,13,5333
28,92,57,0,30,8,1775
0,199,0,0,5,5,204
184,136,103,133,0,7,3148
0,78,10,17,72,12,8716
45,156,27,37,0,6,1464
13,17,6,10,5,2,1358
6,28,0,0,25,7,281
30,7,48,15,0,5,2321
234,44,104,118,0,13,4054
862,63,491,518,300,84,2400
20,125,39,91,17,13,5650
0,84,0,17,5,2,1525
0,21,72,25,40,2,477
0,64,0,0,0,2,503
160,27,96,72,0,10,8470
18,10,3,28,0,3,778
126,13,59,153,30,7.5,2597
137,174,117,147,0,3,950
165,125,93,119,0,13,5727
21,38,39,7,41,4,2040
30,5,19,21,0,8,3677
42,64,0,21,0,2,570
13,56,0,10,40,8,1223
24,24,9,21,0,4,976
42,0,14,0,0,12,387
356,84,170,669,21,13,4416
42,11,32,35,14,8,286
24,9,0,36,0,5,305
18,20,0,43,0,7,129
1061,1009,772,241,5,8,4266
25,46,0,14,15,3,440
30,66,0,7,0,2,1362
153,83,0,112,10,6,2533
75,32,3,62,0,10,225
292,326,155,32,0,13,11045
484,1831,318,208,142,24,32760
15,32,0,28,5,8,2054
4,56,0,7,0,7,252
122,28,113,273,10,8,2362
201,0,36,76,0,5,2459
134,62,140,91,67,21,8706
60,65,0,0,0,6,770
47,43,6,29,104,36,8111
12,5,0,0,0,11,762
10,25,0,31,5,1,136
0,20,36,10,0,1,358
32,14,25,28,70,6,481
379,449,271,219,20,8,3189
862,444,303,437,0,9,22500
72,0,107,29,44,13,11719
37,26,10,29,0,5,183
49,39,0,15,0,5,1482
18,186,21,15,60,11,1251
104,7,77,0,0,8,943
49,14,33,49,10,11,2684
21,41,0,49,15,9,729
82,222,19,85,10,7,3630
2019,609,248,157,80,24,34085
35,7,57,24,20,3,2856
346,97,122,79,0,6,5757
19,93,3,10,30,15,631
324,68,14,0,0,8,2184
2221,454,820,1137,311,37,21014
27,4,24,17,0,4,417
27,133,51,34,89,9,2683
78,16,56,77,0,4,5532
458,236,56,58,76,6,4815
27,12,6,14,0,2,246
36,0,16,0,0,1,686
88,105,27,79,0,13,470
24,28,0,0,0,2,395
40,54,15,21,0,3,1080
45,4,27,29,0,7,1396
95,82,27,76,0,10,2933
126,4,98,21,0,9,4551
156,21,0,29,10,4,2999
255,1008,192,158,0,11,2540
15,37,0,0,5,2,26
50,0,3,0,0,2,448
91,12,44,60,50,3,906
0,0,6,7,0,13,211
402,432,0,252,65,12,1724
3,26,0,7,35,5,1584
36,0,32,24,0,7,148
638,233,639,580,131,24,25482
225,102,57,91,0,5,683
21,12,19,15,0,4,2521
76,96,45,41,10,9,2933
96,0,0,0,0,2,494
23,25,7,17,0,7,486
111,127,18,216,0,30,4955
112,145,59,105,0,7,6138
129,38,46,57,0,10,1451
97,78,4,43,0,2,311
21,76,6,0,0,2,2445
10,14,0,7,0,6,237
422,306,109,168,230,9,3711
69,198,0,0,5,19,2941
44,60,15,49,25,11,2430
102,63,6,28,0,10,2532
1098,1278,498,1059,0,15,26408
44,33,44,17,0,2,1244
23,65,17,91,5,6,562
45,0,68,0,15,10,3303
70,16,0,45,47,12,499
288,300,116,230,0,6,2078
51,9,33,22,0,3,2326
235,117,89,46,10,6,2741
716,13,10,24,0,5,3546
0,28,0,0,0,3,140
9,61,3,0,0,8,1404
61,0,0,0,42,12,929
103,183,15,17,0,5,528
108,119,94,203,0,15,3748
920,154,41,203,0,18,4900
3,101,3,0,7,12,1853
110,25,6,49,5,13,2890
168,46,9,77,15,11,1076
6,4,19,59,10,4,2387
179,40,54,109,7,6,1586
21,21,4,14,5,4,997
60,48,12,0,0,5,212
72,43,3,84,30,12,1278
625,387,223,399,0,12,7060
184,11,48,7,0,9,702
202,66,75,115,0,16,903
28,118,44,0,10,8,6765
107,132,7,77,122,19,8227
54,65,0,14,0,4,334
163,0,202,237,20,9,4164
27,192,12,37,0,15,6844
39,70,18,62,55,10,1661
711,589,218,442,0,10,6068
188,29,0,69,37,14,6063
124,71,61,66,0,13,665
126,7,50,84,0,6,544
54,42,53,91,30,6,893
0,7,12,0,10,2.5,352
353,245,7,581,253,8,3344
45,5,19,28,0,1,404
3,100,0,66,145,8,5732
299,234,144,217,60,17,22920
331,12,189,164,0,9,9409
10,22,0,17,0,4,285
72,18,24,7,0,3,1293
249,262,146,423,15,12,15165
109,118,67,90,7,17,3287
0,65,0,0,5,3,764
22,0,68,47,0,3,2194
48,162,0,196,37,4,2014
29,0,9,24,0,4,827
88,70,19,28,0,10,2508
76,11,28,0,0,1.5,201
39,112,3,28,0,15,563
52,0,6,0,0,11,534
12,44,0,24,0,4,1039
219,657,3,485,437,7,43303
181,160,9,55,25,8,3133
25,34,16,27,0,3,1801
85,17,26,133,0,6,2639
162,24,18,112,30,4,2360
88,5,0,17,131,5,2520
88,40,4,30,7,5,1788
108,57,53,74,31,13,1238
15,28,17,7,30,4,442
113,404,161,133,17,5,3368
81,50,51,42,0,3,281
125,4,20,0,0,3,687
60,38,30,41,0,2,220
345,334,0,236,42,12,11388
63,20,61,71,30,14,9720
8,7,0,10,15,2,145
20,28,10,7,0,3,140
48,110,47,49,0,19,1265
78,100,67,54,0,13,5242
52,56,18,7,20,11,2791
48,10,72,14,0,3,742
36,24,12,0,0,5,584
42,179,24,42,15,7,893
209,36,125,20,0,7,5639
35,0,41,20,0,5,5533
44,10,3,25,0,3,410
30,59,39,29,0,5,1001
460,98,199,175,0,11,2552
116,226,131,72,0,11,8740
96,9,0,0,0,8,198
12,10,14,15,0,1,2347
27,4,0,31,7,8,817
0,105,0,0,0,1,249
27,334,15,0,60,15,7762
60,44,6,38,40,4,776
932,521,233,214,0,21,13130
49,15,25,31,0,2,1644
21,7,30,50,32,8,13528
28,4,15,21,0,5,617
159,29,57,119,15,7,2391
12,16,230,0,0,5,605
33,0,39,24,25,4,2064
349,194,74,84,155,12,2551
56,14,10,39,0,7,1668
119,107,9,28,65,19,1817
117,19,93,0,5,10,5103
58,62,46,51,0,8,2836
541,70,290,335,90,1,14938
21,67,3,0,15,13,1049
10,32,3,21,5,10,1061
139,0,89,70,40,9,13919
40,0,12,10,0,7,3675
189,96,78,239,7,6,2542
90,120,34,14,0,2,2244
181,165,15,84,167,4,8046
0,55,0,0,0,6,4945
36,32,9,17,0,11,1313
452,66,127,84,5,7,3214
120,34,0,0,0,10,483
125,104,107,133,0,4,2306
27,677,34,0,100,9,1634
23,0,30,27,14,6,720
85,4,16,14,0,13,1073
73,32,79,22,5,13,3566
222,271,222,63,0,7,780
18,7,37,7,5,14,3995
1049,519,399,595,360,42,49034
15,18,9,15,5,6,392
328,804,187,49,63,23,17607
128,21,86,77,25,8,591
0,0,67,0,10,6,812
12,28,17,7,0,12,564
186,463,0,516,316,8,8549
41,21,29,41,19,3,391
27,14,6,17,0,2,1817
24,0,3,42,5,3,540
301,130,204,90,0,8,7443
106,49,31,80,12,6,8663
84,7,45,40,22,12,4622
99,50,43,63,5,7,915
83,71,71,111,17,12,25401
21,51,3,0,0,5,569
31,133,0,45,5,4,1512
213,224,111,212,75,11,5053
46,12,22,35,15,10,1939
25,0,3,14,0,1,114
75,12,23,39,0,8,1532
85,0,49,59,0,4,4723
126,0,38,0,0,13,2971
48,34,174,73,25,10,5841
546,0,74,7,0,8,941
46,7,18,49,15,8,1035
379,377,133,182,170,13,5597
30,59,10,39,0,8,2988
35,48,6,14,100,5,3219
116,312,132,30,58,15,4630
92,116,57,196,0,6,4112
14,0,4,7,0,6,580
94,348,205,45,74,5,10942
78,10,123,68,0,9,937
15,0,19,22,0,8,2515
14,118,14,155,0,8,2600
1240,2455,135,1732,1572,19,25217
0,118,0,0,0,2,176
12,17,6,14,10,3,341
240,858,177,91,115,38,16357
196,667,149,115,54,12,3006
155,231,91,105,0,8,1694
120,94,77,63,10,6,1134
56,0,27,38,7,8,1186
30,50,22,24,0,9,1383
94,36,44,38,55,6,1727
73,87,39,63,10,7,4504
73,105,0,70,0,8,4800
36,15,0,49,10,24,2553
1184,616,952,1091,42,11,16921
83,252,16,58,0,7,7459
90,39,3,117,0,11,3877
73,0,22,14,0,8,2088
101,70,26,56,5,8,4695
114,11,44,42,0,9,3201
555,15,245,394,10,9,11490
138,233,124,105,5,13,752
349,423,377,457,10,35,29399
56,7,15,7,0,6,2299
19,8,9,15,0,5,883
59,102,19,60,21,10,8702
107,93,97,52,0,8,3703
0,133,0,10,0,4,705
24,76,3,7,0,15,1434
20,5,93,73,0,4,2450
54,161,43,173,80,9,3500
28,0,47,15,25,3,1896
0,109,143,0,0,11,6821
186,40,19,10,0,4,1393
67,88,6,0,0,7,2604
45,39,38,42,5,10,3638
99,112,26,28,0,4,3234
0,60,0,0,0,3,252
72,0,18,0,7,3,1028
26,29,3,0,0,5,691
626,108,56,413,5,15,7824
30,0,8,0,0,4,247
33,0,21,27,0,10,2738
18,14,8,44,0,6,1121
352,12,12,52,0,8,16042
188,116,52,114,5,13,2435
48,47,28,27,35,8,1440
36,14,50,32,10,16,6416
43,0,77,36,0,5,1213
575,45,319,301,0,15,10222
81,0,3,15,0,3,241
685,67,133,620,7,16.5,1200
164,212,12,66,7,10,1708
30,0,20,22,0,4,2108
11,22,0,20,21,1,454
61,164,168,145,60,8,4086
18,7,6,10,17,5,2027
0,42,0,0,15,3,293
289,13,0,363,7,12,4301
177,22,217,0,5,15.5,16788
30,11,3,21,0,3,566
42,201,39,67,60,11,2672
21,90,4,0,0,12,1869
58,20,4,10,0,3,803
30,15,12,7,5,7,4019
345,42,249,150,10,14,4867
15,7,42,0,10,17,3132
18,4,25,21,10,1,89
6,33,19,0,55,7,1126
516,240,176,314,10,8,1538
392,119,235,166,47,11,7263
10,18,31,0,0,2,3853
270,121,450,90,50,28,28855
67,5,0,0,0,15,1248
287,159,38,147,45,13,15039
30,33,18,35,12,13,4947
78,0,0,63,0,8,2019
255,295,72,157,0,42,5400
916,538,295,969,0,36,33028
175,108,29,17,5,13,5078
132,45,30,7,0,3,701
34,89,6,63,49,12,736
25,19,6,29,60,7,976
70,123,57,28,30,4,1167
0,86,0,50,130,12,3762
58,15,6,21,40,5,619
0,70,0,15,10,8,1101
594,569,192,259,60,15,1210
229,31,130,60,0,8,5876
129,96,21,105,50,10,2395
179,26,64,110,0,10,1050
27,28,0,0,0,4,1741
61,0,20,44,0,4,1579
579,291,171,378,0,11,3193
780,119,223,371,0,23,36046
12,49,36,28,15,3,3437
71,24,343,21,15,6,1829
24,18,21,14,0,10,408
105,67,41,0,0,2.5,801
22,53,0,100,0,7,597
122,98,54,62,0,18,763
84,0,12,0,284,5,1238
48,187,15,35,25,7,1249
72,32,10,44,5,3,13752
120,32,89,83,120,14,9296
0,266,0,0,25,1,329
105,83,0,0,5,17,3088
14,0,16,17,5,2,380
88,221,37,34,0,7,2333
18,374,27,0,0,19,2109
198,109,67,90,60,14,10080
34,38,4,30,0,2,553
17,17,0,24,5,16,354
42,145,10,43,0,2.5,190
336,134,158,148,100,11,5482
71,170,15,67,96,11,3191
187,1241,143,156,10,12,3986
108,0,94,7,0,7,560
38,9,20,14,0,2,80
391,469,385,210,85,16,7816
24,22,20,10,0,5,2002
150,7,132,0,0,6,1557
161,91,0,10,0,7,1417
19,5,16,10,0,5,1246
114,97,157,49,75,11,4158
127,122,54,87,20,2,646
262,42,60,90,0,10,2310
9,32,12,7,0,5,992
152,68,41,72,15,6,7091
169,23,115,42,0,5,3431
24,0,24,0,0,3,1007
9404,1221,0,2955,0,14,54620
82,92,13,10,0,2,871
534,319,323,87,0,8,19699
90,19,64,39,0,4,1930
535,428,58,224,10,26,7505
170,4,88,126,10,2,300
51,0,0,10,5,3,349
11,217,3,36,57,6,2038
32,15,13,31,45,6,601
60,17,0,70,0,15,667
16,34,0,28,10,5,3585
75,28,10,29,0,4,1916
433,234,148,245,0,30,3655
27,166,48,21,50,10,5432
3,19,10,24,0,3,170
88,23,31,35,0,8,1823
104,385,16,49,27,4,3612
804,332,0,947,240,6,3981
46,0,50,41,0,6,1984
49,83,75,51,5,5,3646
47,26,80,84,0,9,3800
4,7,0,0,30,3,498
401,1216,155,107,10,48,27000
56,149,0,24,24,7,1694
53,21,43,38,15,4,2952
60,12,0,0,0,1,374
108,5,75,56,0,4,300
1327,257,534,995,42,17,7575
67,103,77,98,20,9,3322
18,0,69,14,47,8,5196
64,142,21,0,100,16,2566
82,80,50,14,0,5,1686
279,20,314,273,30,6,25054
168,10,92,77,5,10,117
144,104,6,14,0,3,500
265,195,235,52,0,8,12551
54,42,30,7,0,3,399
215,81,109,112,0,7,784
39,0,41,24,20,6,2112
7,34,6,21,0,3,600
12,31,3,50,0,1.5,450
503,333,173,150,5,20,5800
486,277,126,147,5,7,2565
41,57,0,99,25,4,2385
1056,658,45,303,5,21,10398
65,31,22,38,0,10,3434
180,12,41,14,0,3,400
32,5,40,28,10,2,338
24,79,6,42,60,17,2835
33,0,12,10,0,2,594
146,238,53,24,12,6,1017
40,12,27,38,60,8,789
34,66,10,37,15,3,774
43,68,3,57,0,1.5,640
81,49,37,58,0,4,500
102,84,52,0,0,10,601
322,56,112,234,5,13,16179
18,21,30,70,0,6,2446
12,27,0,0,7,3,338
57,32,12,140,0,9,1786
32,0,16,7,0,3,899
410,267,108,152,25,20,16560
13,32,3,42,5,4,526
24,0,9,14,0,6,440
123,91,28,0,0,7,2185